Age;Gender;Location;Subscription Status;Frequency of Purchases;Item Purchased
18;Female;Alaska;No;Weekly;Shorts
18;Female;Illinois;No;Fortnightly;Shirt
18;Female;Kansas;No;Annually;Socks
18;Female;Kentucky;No;Fortnightly;Coat
18;Female;Maryland;No;Annually;Dress
18;Female;Missouri;No;Weekly;Boots
18;Female;Montana;No;Monthly;Shirt
18;Female;Montana;No;Weekly;Handbag
18;Female;Nebraska;No;Every 3 Months;Sunglasses
18;Female;Nebraska;No;Fortnightly;Handbag
18;Female;Nevada;No;Quarterly;Sunglasses
18;Female;New York;No;Weekly;Hat
18;Female;North Carolina;No;Annually;Belt
18;Female;Oklahoma;No;Annually;Dress
18;Female;Pennsylvania;No;Every 3 Months;Backpack
18;Female;Pennsylvania;No;Monthly;Scarf
18;Female;Texas;No;Annually;Scarf
18;Female;Texas;No;Fortnightly;Jacket
18;Female;Utah;No;Every 3 Months;Shorts
18;Female;West Virginia;No;Every 3 Months;Jeans
18;Male;Alabama;No;Every 3 Months;Shirt
18;Male;Alaska;Yes;Weekly;Shirt
18;Male;Arkansas;No;Bi-Weekly;Gloves
18;Male;Arkansas;No;Quarterly;Shorts
18;Male;Arkansas;Yes;Bi-Weekly;Belt
18;Male;Colorado;Yes;Every 3 Months;Dress
18;Male;Florida;Yes;Weekly;Jacket
18;Male;Georgia;No;Bi-Weekly;Scarf
18;Male;Georgia;Yes;Every 3 Months;Dress
18;Male;Idaho;No;Annually;Sneakers
18;Male;Illinois;Yes;Bi-Weekly;Sweater, Jeans
18;Male;Illinois;Yes;Quarterly;Sneakers
18;Male;Iowa;No;Bi-Weekly;Jacket
18;Male;Iowa;No;Fortnightly;Pants
18;Male;Iowa;No;Quarterly;Socks
18;Male;Kansas;No;Monthly;T-shirt
18;Male;Kentucky;No;Monthly;Gloves
18;Male;Louisiana;No;Annually;Shirt
18;Male;Louisiana;Yes;Quarterly;Jewelry
18;Male;Maine;No;Every 3 Months;Sweater
18;Male;Maryland;No;Bi-Weekly;Jacket
18;Male;Massachusetts;No;Fortnightly;Coat
18;Male;Michigan;No;Quarterly;Sunglasses
18;Male;Minnesota;No;Bi-Weekly;Skirt
18;Male;Minnesota;No;Fortnightly;Sneakers
18;Male;Mississippi;No;Fortnightly;Coat
18;Male;Montana;Yes;Weekly;Shirt
18;Male;Nebraska;No;Quarterly;Gloves
