Age;Gender;Location;Subscription Status;Frequency of Purchases;Item Purchased;Review Rating
18;Female;Alaska;No;Weekly;['Shorts'];[3.5]
18;Female;Illinois;No;Fortnightly;['Shirt'];[3.7]
18;Female;Kansas;No;Annually;['Socks'];[3.5]
18;Female;Kentucky;No;Fortnightly;['Coat'];[4.1]
18;Female;Maryland;No;Annually;['Dress'];[3.3]
18;Female;Missouri;No;Weekly;['Boots'];[3.0]
18;Female;Montana;No;Monthly;['Shirt'];[3.1]
18;Female;Montana;No;Weekly;['Handbag'];[3.8]
18;Female;Nebraska;No;Every 3 Months;['Sunglasses'];[4.3]
18;Female;Nebraska;No;Fortnightly;['Handbag'];[4.1]
18;Female;Nevada;No;Quarterly;['Sunglasses'];[4.3]
18;Female;New York;No;Weekly;['Hat'];[3.9]
18;Female;North Carolina;No;Annually;['Belt'];[4.6]
18;Female;Oklahoma;No;Annually;['Dress'];[4.4]
18;Female;Pennsylvania;No;Every 3 Months;['Backpack'];[3.5]
18;Female;Pennsylvania;No;Monthly;['Scarf'];[4.0]
18;Female;Texas;No;Annually;['Scarf'];[5.0]
18;Female;Texas;No;Fortnightly;['Jacket'];[4.8]
18;Female;Utah;No;Every 3 Months;['Shorts'];[3.0]
18;Female;West Virginia;No;Every 3 Months;['Jeans'];[3.1]
18;Male;Alabama;No;Every 3 Months;['Shirt'];[4.1]
18;Male;Alaska;Yes;Weekly;['Shirt'];[2.9]
18;Male;Arkansas;No;Bi-Weekly;['Gloves'];[4.4]
18;Male;Arkansas;No;Quarterly;['Shorts'];[4.9]
18;Male;Arkansas;Yes;Bi-Weekly;['Belt'];[4.0]
18;Male;Colorado;Yes;Every 3 Months;['Dress'];[2.9]
18;Male;Florida;Yes;Weekly;['Jacket'];[2.9]
18;Male;Georgia;No;Bi-Weekly;['Scarf'];[2.7]
18;Male;Georgia;Yes;Every 3 Months;['Dress'];[2.9]
18;Male;Idaho;No;Annually;['Sneakers'];[4.2]
18;Male;Illinois;Yes;Bi-Weekly;['Sweater', 'Jeans'];[3.0, 3.6]
18;Male;Illinois;Yes;Quarterly;['Sneakers'];[2.7]
18;Male;Iowa;No;Bi-Weekly;['Jacket'];[3.3]
18;Male;Iowa;No;Fortnightly;['Pants'];[4.7]
18;Male;Iowa;No;Quarterly;['Socks'];[4.5]
18;Male;Kansas;No;Monthly;['T-shirt'];[4.8]
18;Male;Kentucky;No;Monthly;['Gloves'];[4.6]
18;Male;Louisiana;No;Annually;['Shirt'];[3.0]
18;Male;Louisiana;Yes;Quarterly;['Jewelry'];[4.4]
18;Male;Maine;No;Every 3 Months;['Sweater'];[4.8]
18;Male;Maryland;No;Bi-Weekly;['Jacket'];[3.5]
18;Male;Massachusetts;No;Fortnightly;['Coat'];[2.6]
