Customer ID;Age;Gender;Location;Subscription Status;Frequency of Purchases;Item Purchased;Category;Purchase Amount (USD);Size;Color;Season;Review Rating;Shipping Type;Discount Applied;Promo Code Used;Previous Purchases;Payment Method
1;55;Male;Kentucky;Yes;Fortnightly;Blouse;Clothing;53;L;Gray;Winter;3.1;Express;Yes;Yes;14;Venmo
2;19;Male;Maine;Yes;Fortnightly;Sweater;Clothing;64;L;Maroon;Winter;3.1;Express;Yes;Yes;2;Cash
3;50;Male;Massachusetts;Yes;Weekly;Jeans;Clothing;73;S;Maroon;Spring;3.1;Free Shipping;Yes;Yes;23;Credit Card
4;21;Male;Rhode Island;Yes;Weekly;Sandals;Footwear;90;M;Maroon;Spring;3.5;Next Day Air;Yes;Yes;49;PayPal
5;45;Male;Oregon;Yes;Annually;Blouse;Clothing;49;M;Turquoise;Spring;2.7;Free Shipping;Yes;Yes;31;PayPal
6;46;Male;Wyoming;Yes;Weekly;Sneakers;Footwear;20;M;White;Summer;2.9;Standard;Yes;Yes;14;Venmo
7;63;Male;Montana;Yes;Quarterly;Shirt;Clothing;85;M;Gray;Fall;3.2;Free Shipping;Yes;Yes;49;Cash
8;27;Male;Louisiana;Yes;Weekly;Shorts;Clothing;34;L;Charcoal;Winter;3.2;Free Shipping;Yes;Yes;19;Credit Card
9;26;Male;West Virginia;Yes;Annually;Coat;Outerwear;97;L;Silver;Summer;2.6;Express;Yes;Yes;8;Venmo
10;57;Male;Missouri;Yes;Quarterly;Handbag;Accessories;31;M;Pink;Spring;4.8;2-Day Shipping;Yes;Yes;4;Cash
11;53;Male;Arkansas;Yes;Bi-Weekly;Shoes;Footwear;34;L;Purple;Fall;4.1;Store Pickup;Yes;Yes;26;Bank Transfer
12;30;Male;Hawaii;Yes;Fortnightly;Shorts;Clothing;68;S;Olive;Winter;4.9;Store Pickup;Yes;Yes;10;Bank Transfer
13;61;Male;Delaware;Yes;Fortnightly;Coat;Outerwear;72;M;Gold;Winter;4.5;Express;Yes;Yes;37;Venmo
14;65;Male;New Hampshire;Yes;Weekly;Dress;Clothing;51;M;Violet;Spring;4.7;Express;Yes;Yes;31;PayPal
15;64;Male;New York;Yes;Weekly;Coat;Outerwear;53;L;Teal;Winter;4.7;Free Shipping;Yes;Yes;34;Debit Card
16;64;Male;Rhode Island;Yes;Monthly;Skirt;Clothing;81;M;Teal;Winter;2.8;Store Pickup;Yes;Yes;8;PayPal
17;25;Male;Alabama;Yes;Bi-Weekly;Sunglasses;Accessories;36;S;Gray;Spring;4.1;Next Day Air;Yes;Yes;44;Debit Card
18;53;Male;Mississippi;Yes;Quarterly;Dress;Clothing;38;XL;Lavender;Winter;4.7;2-Day Shipping;Yes;Yes;36;Venmo
19;52;Male;Montana;Yes;Weekly;Sweater;Clothing;48;S;Black;Summer;4.6;Free Shipping;Yes;Yes;17;Cash
